name_en,name_zh-Hant,name_zh-Hans,id,name_zh-Latn-pinyin,ruing_house_clan_zh-Latn-pinyin,ruing_house_clan_zh-Hans,from_verbatim,from,to_verbatim,to,duration_years,kind
Xia dynasty,夏,,xia,Xià,Sì,姒,2070 BC,-2070,1600 BC,-1600,470,confederacy
Shang dynasty,商,,shang,Shāng,Zǐ,子,1600 BC,-1600,1050 BC,-1050,690,confederacy
Western Zhou dynasty,西周,,xi_zhou,Xī Zhōu,Jī ,姬,1050 BC,-1050,770 BC,-770,275,confederacy
Eastern Zhou dynasty,東周,东周,dong_zhou,Dōng Zhōu,Jī ,姬,770 BC,-770,250 BC,-250,514,confederacy
Spring and Autumn period,春秋,,chun_qiu,Chūn Qiū,,,770 BC,-770,479 BC,-478,295,confederacy
Warring States period,戰國 , 战国,zhan_guo,Zhàn Guó,,,476 BC,-475,221 BC,-220,255,confederacy
Qin dynasty,秦,,qin,Qín,Yíng,嬴,221 BC,-220,206 BC,-211,15,imperial
Western Han dynasty,西漢 , 西汉,xi_han,Xī Hàn,Liú ,劉,206 BC or 202 BC,-205,9 AD or 23–25 AD,23,215,imperial
Xin dynasty,新,,xin,Xīn,Wáng ,王,9 AD,9,23 AD,23,14,imperial
Eastern Han dynasty,東漢 , 东汉,dong_han,Dōng Hàn,Liú ,劉,25 AD,25,220 AD,220,195,imperial
Three Kingdoms,三國,三国,san_guo,Sān Guó,Cáo/Liú/Sūn,曹/劉 /孫,220 AD,220,265 AD or 280 AD,265,45,imperial
Western Jin dynasty,西晉 , 西晋,xi_jin,Xī Jìn,Sīmǎ ,司馬,265 AD,265,317 AD,317,52,imperial
Eastern Jin dynasty,東晉 , 东晋,dong_jin,Dōng Jìn,Sīmǎ ,司馬,317 AD,317,420 AD,420,103,imperial
Southern and Northern Dynasties,南北朝,,nan_bei_chao,Nán Běi Cháo,various,,386 AD or 420 AD,420,589 AD,589,169,imperial
Sui dynasty,隋,,sui,Suí,Yáng ,楊,581 AD,581,618 AD,618,37,imperial
Tang dynasty,唐,,tang,Táng,Lǐ ,李,618 AD,618,907 AD,907,289,imperial
Five Dynasties and Ten Kingdoms,五代十国,,wu_dai_shi_guo,Wǔ Dài Shí Guó,various,,907 AD,907,960 AD,960,53,imperial
Kingdom of Dali,五代十国,,da_li_guo,Dà Lǐ Guó,Duan,段,937 AD,937,1253 AD,1253,316,imperial
Northern Song dynasty,北宋,,bei_song,Běi Sòng,Zhào ,趙,960 AD,960,1127 AD,1127,167,imperial
Southern Song dynasty,南宋,,nan_song,Nán Sòng,Zhào ,趙,1127 AD,1127,1279 AD,1279,152,imperial
Liao dynasty,遼 , 辽,liao,Liáo,Yelü ,耶律,907 AD or 916 AD,907 AD or 916,1125 AD,1125,209,imperial
Jin dynasty,金,,jin,Jīn,Wanggiya,完顏,1115 AD,1115,1234 AD,1234,119,imperial
Western Xia,西夏,,xi_xia,Xī Xià,Li ,李,1038 AD,1038,1227 AD,1227,189,imperial
Western Liao,西遼,,xi_liao,Xī Liáo,Yelü ,耶律,1124 AD,1124,1218 AD,1218,94,imperial
Yuan dynasty,元,,yuan,Yuán,Borjigin,孛兒只斤,1271 AD,1271,1368 AD,1368,97,imperial
Ming dynasty,明,,ming,Míng,Zhū ,朱,1368 AD,1368,1644 AD or 1662 AD,1644,276,imperial
Qing dynasty,清,,qing,Qīng,Aisin Gioro,愛新覺羅,1636 AD or 1644 AD,1644,1911 AD,1911,268,imperial
